Date,BrandName,ProductName,Price,PriceUnit,RaiseDownType
2018-04-09,中国黄金,回收价,270.7,元/克,涨
2018-04-04,中国黄金,回收价,270.6,元/克,跌
2018-04-03,中国黄金,回收价,271.0,元/克,涨
2018-04-02,中国黄金,回收价,269.4,元/克,涨
2018-03-30,中国黄金,回收价,268.7,元/克,跌
2018-03-29,中国黄金,回收价,269.8,元/克,跌
2018-03-28,中国黄金,回收价,272.2,元/克,跌
2018-03-26,中国黄金,回收价,273.9,元/克,涨
2018-03-23,中国黄金,回收价,272.5,元/克,涨
2018-03-22,中国黄金,回收价,271.1,元/克,涨
2018-03-21,中国黄金,回收价,268.0,元/克,跌
2018-04-25,中国黄金,回收价,270.3,元/克,跌
2018-04-23,中国黄金,回收价,270.6,元/克,跌
2018-04-20,中国黄金,回收价,272.3,元/克,跌
2018-04-19,中国黄金,回收价,272.7,元/克,涨
2018-04-18,中国黄金,回收价,272.1,元/克,跌
2018-04-17,中国黄金,回收价,272.2,元/克,跌
2018-04-16,中国黄金,回收价,272.3,元/克,涨
2018-04-13,中国黄金,回收价,271.4,元/克,跌
2018-04-12,中国黄金,回收价,272.9,元/克,涨
2018-04-11,中国黄金,回收价,271.2,元/克,平
2018-04-10,中国黄金,回收价,271.2,元/克,涨
2016-08-02,中国黄金,回收价,288.0,元/克,涨
2016-08-01,中国黄金,回收价,287.0,元/克,跌
2016-07-30,中国黄金,回收价,287.8,元/克,涨
2016-07-29,中国黄金,回收价,285.9,元/克,平
2016-07-28,中国黄金,回收价,285.9,元/克,涨
2016-07-27,中国黄金,回收价,282.5,元/克,跌
2016-07-26,中国黄金,回收价,283.3,元/克,涨
2016-07-25,中国黄金,回收价,282.6,元/克,跌
2016-07-23,中国黄金,回收价,283.7,元/克,跌
2016-07-22,中国黄金,回收价,284.7,元/克,涨
2016-07-21,中国黄金,回收价,281.4,元/克,跌
2012-09-24,中国黄金,回收价,355.4,元/克,跌
2012-09-21,中国黄金,回收价,358.0,元/克,涨
2012-09-20,中国黄金,回收价,357.3,元/克,跌
2012-09-19,中国黄金,回收价,357.8,元/克,涨
2012-09-18,中国黄金,回收价,356.0,元/克,跌
2012-09-17,中国黄金,回收价,359.9,元/克,涨
2012-09-14,中国黄金,回收价,359.8,元/克,涨
2012-09-13,中国黄金,回收价,351.3,元/克,跌
2012-09-12,中国黄金,回收价,352.5,元/克,涨
2012-09-11,中国黄金,回收价,351.6,元/克,跌
2012-09-10,中国黄金,回收价,353.0,元/克,涨
2016-08-30,中国黄金,回收价,283.7,元/克,涨
2016-08-29,中国黄金,回收价,282.8,元/克,跌
2016-08-28,中国黄金,回收价,283.4,元/克,涨
2016-08-26,中国黄金,回收价,283.1,元/克,跌
2016-08-25,中国黄金,回收价,284.0,元/克,跌
2016-08-24,中国黄金,回收价,286.2,元/克,涨
2016-08-23,中国黄金,回收价,285.9,元/克,涨
2016-08-22,中国黄金,回收价,285.7,元/克,跌
2016-08-20,中国黄金,回收价,286.6,元/克,跌
2016-08-19,中国黄金,回收价,287.2,元/克,跌
2016-08-18,中国黄金,回收价,288.0,元/克,涨
2020-06-17,中国黄金,回收价,388.5,元/克,平
2020-06-16,中国黄金,回收价,388.5,元/克,跌
2020-06-15,中国黄金,回收价,390.5,元/克,涨
2020-06-12,中国黄金,回收价,389.5,元/克,涨
2020-06-11,中国黄金,回收价,389.0,元/克,涨
2020-06-10,中国黄金,回收价,386.7,元/克,涨
2020-06-09,中国黄金,回收价,383.5,元/克,涨
2020-06-08,中国黄金,回收价,381.3,元/克,跌
2020-06-05,中国黄金,回收价,388.2,元/克,涨
2020-06-04,中国黄金,回收价,386.5,元/克,跌
2020-06-03,中国黄金,回收价,389.7,元/克,跌
2020-10-19,中国黄金,回收价,400.0,元/克,跌
2020-10-16,中国黄金,回收价,402.4,元/克,涨
2020-10-15,中国黄金,回收价,400.0,元/克,涨
2020-10-14,中国黄金,回收价,399.4,元/克,跌
2020-10-13,中国黄金,回收价,405.5,元/克,跌
2020-10-12,中国黄金,回收价,407.5,元/克,涨
2020-10-09,中国黄金,回收价,403.5,元/克,跌
2020-10-08,中国黄金,回收价,405.5,元/克,平
2020-10-07,中国黄金,回收价,405.5,元/克,平
2020-10-06,中国黄金,回收价,405.5,元/克,涨
2020-10-05,中国黄金,回收价,404.0,元/克,平
2012-12-14,中国黄金,回收价,340.0,元/克,跌
