Date,BrandName,ProductName,Price,PriceUnit,RaiseDownType
2018-04-02,中国黄金,基础金价,271.4,元/克,涨
2018-03-30,中国黄金,基础金价,270.7,元/克,跌
2018-03-29,中国黄金,基础金价,271.8,元/克,跌
2018-03-28,中国黄金,基础金价,274.2,元/克,跌
2018-03-26,中国黄金,基础金价,275.9,元/克,涨
2018-03-23,中国黄金,基础金价,274.5,元/克,涨
2018-03-22,中国黄金,基础金价,273.1,元/克,涨
2018-03-21,中国黄金,基础金价,270.0,元/克,跌
2018-03-20,中国黄金,基础金价,270.2,元/克,涨
2018-03-19,中国黄金,基础金价,270.0,元/克,跌
2018-03-16,中国黄金,基础金价,270.5,元/克,跌
2012-11-28,中国黄金,基础金价,349.0,元/克,跌
2012-11-27,中国黄金,基础金价,350.5,元/克,涨
2012-11-26,中国黄金,基础金价,350.2,元/克,涨
2012-11-23,中国黄金,基础金价,347.2,元/克,跌
2012-11-22,中国黄金,基础金价,347.5,元/克,涨
2012-11-21,中国黄金,基础金价,347.4,元/克,跌
2012-11-20,中国黄金,基础金价,348.3,元/克,涨
2012-11-19,中国黄金,基础金价,346.3,元/克,涨
2012-11-16,中国黄金,基础金价,345.1,元/克,跌
2012-11-15,中国黄金,基础金价,346.4,元/克,跌
2012-11-14,中国黄金,基础金价,347.0,元/克,涨
2016-07-29,中国黄金,基础金价,287.9,元/克,平
2016-07-28,中国黄金,基础金价,287.9,元/克,涨
2016-07-27,中国黄金,基础金价,284.5,元/克,跌
2016-07-26,中国黄金,基础金价,285.3,元/克,涨
2016-07-25,中国黄金,基础金价,284.6,元/克,跌
2016-07-23,中国黄金,基础金价,385.7,元/克,跌
2016-07-22,中国黄金,基础金价,386.7,元/克,涨
2016-07-21,中国黄金,基础金价,283.4,元/克,跌
2016-07-20,中国黄金,基础金价,288.4,元/克,涨
2016-07-19,中国黄金,基础金价,287.7,元/克,涨
2016-07-18,中国黄金,基础金价,287.6,元/克,跌
2018-04-19,中国黄金,基础金价,274.7,元/克,涨
2018-04-18,中国黄金,基础金价,274.1,元/克,跌
2018-04-17,中国黄金,基础金价,274.2,元/克,跌
2018-04-16,中国黄金,基础金价,274.3,元/克,涨
2018-04-13,中国黄金,基础金价,273.4,元/克,跌
2018-04-12,中国黄金,基础金价,274.9,元/克,涨
2018-04-11,中国黄金,基础金价,273.2,元/克,平
2018-04-10,中国黄金,基础金价,273.2,元/克,涨
2018-04-09,中国黄金,基础金价,272.7,元/克,涨
2018-04-04,中国黄金,基础金价,272.6,元/克,跌
2018-04-03,中国黄金,基础金价,273.0,元/克,涨
2012-09-21,中国黄金,基础金价,360.0,元/克,涨
2012-09-20,中国黄金,基础金价,359.3,元/克,跌
2012-09-19,中国黄金,基础金价,359.8,元/克,涨
2012-09-18,中国黄金,基础金价,358.0,元/克,跌
2012-09-17,中国黄金,基础金价,361.9,元/克,涨
2012-09-14,中国黄金,基础金价,361.8,元/克,涨
2012-09-13,中国黄金,基础金价,353.3,元/克,跌
2012-09-12,中国黄金,基础金价,354.5,元/克,涨
2012-09-11,中国黄金,基础金价,353.6,元/克,跌
2012-09-10,中国黄金,基础金价,355.0,元/克,涨
2012-09-07,中国黄金,基础金价,346.5,元/克,跌
2016-08-26,中国黄金,基础金价,285.1,元/克,跌
2016-08-25,中国黄金,基础金价,286.0,元/克,跌
2016-08-24,中国黄金,基础金价,288.2,元/克,涨
2016-08-23,中国黄金,基础金价,287.9,元/克,涨
2016-08-22,中国黄金,基础金价,287.7,元/克,跌
2016-08-20,中国黄金,基础金价,288.6,元/克,跌
2016-08-19,中国黄金,基础金价,289.2,元/克,跌
2016-08-18,中国黄金,基础金价,290.0,元/克,涨
2016-08-17,中国黄金,基础金价,288.5,元/克,跌
2016-08-16,中国黄金,基础金价,288.6,元/克,涨
2016-08-15,中国黄金,基础金价,287.5,元/克,跌
2012-12-13,中国黄金,基础金价,342.7,元/克,跌
2012-12-12,中国黄金,基础金价,344.1,元/克,涨
2012-12-11,中国黄金,基础金价,343.3,元/克,涨
2012-12-10,中国黄金,基础金价,343.0,元/克,涨
2012-12-07,中国黄金,基础金价,341.8,元/克,涨
2012-12-06,中国黄金,基础金价,339.7,元/克,跌
2012-12-05,中国黄金,基础金价,340.7,元/克,跌
2012-12-04,中国黄金,基础金价,343.5,元/克,跌
2012-12-03,中国黄金,基础金价,345.0,元/克,跌
2012-11-30,中国黄金,基础金价,345.9,元/克,涨
2012-11-29,中国黄金,基础金价,345.5,元/克,跌
2018-05-10,中国黄金,基础金价,271.3,元/克,涨
2018-05-09,中国黄金,基础金价,271.2,元/克,跌
2018-05-08,中国黄金,基础金价,271.4,元/克,跌
2018-05-07,中国黄金,基础金价,271.5,元/克,涨
2018-05-04,中国黄金,基础金价,270.7,元/克,跌
2018-04-28,中国黄金,基础金价,271.9,元/克,涨
2018-04-27,中国黄金,基础金价,271.0,元/克,跌
2018-04-26,中国黄金,基础金价,271.9,元/克,跌
2018-04-25,中国黄金,基础金价,272.3,元/克,跌
2018-04-23,中国黄金,基础金价,272.6,元/克,跌
2018-04-20,中国黄金,基础金价,274.3,元/克,跌
2016-05-24,中国黄金,基础金价,264.8,元/克,跌
2016-05-23,中国黄金,基础金价,265.7,元/克,涨
2016-05-20,中国黄金,基础金价,265.6,元/克,跌
2016-05-19,中国黄金,基础金价,266.7,元/克,跌
2016-05-18,中国黄金,基础金价,269.9,元/克,涨
2016-05-17,中国黄金,基础金价,269.3,元/克,平
2016-05-16,中国黄金,基础金价,269.3,元/克,涨
2016-05-13,中国黄金,基础金价,267.4,元/克,跌
2016-05-12,中国黄金,基础金价,268.2,元/克,涨
2016-05-11,中国黄金,基础金价,267.0,元/克,涨
2016-05-10,中国黄金,基础金价,266.2,元/克,跌
2016-09-11,中国黄金,基础金价,286.9,元/克,平
2016-09-10,中国黄金,基础金价,286.9,元/克,跌
2016-09-09,中国黄金,基础金价,289.1,元/克,跌
2016-09-08,中国黄金,基础金价,290.2,元/克,跌
2016-09-07,中国黄金,基础金价,290.9,元/克,涨
2016-09-02,中国黄金,基础金价,283.6,元/克,涨
2016-09-01,中国黄金,基础金价,283.5,元/克,跌
2016-08-31,中国黄金,基础金价,284.1,元/克,跌
2016-08-30,中国黄金,基础金价,285.7,元/克,涨
2016-08-29,中国黄金,基础金价,284.8,元/克,跌
2016-08-28,中国黄金,基础金价,285.4,元/克,涨
2017-08-14,中国黄金,基础金价,277.8,元/克,跌
2017-08-12,中国黄金,基础金价,278.5,元/克,涨
2017-08-11,中国黄金,基础金价,277.5,元/克,涨
2017-08-10,中国黄金,基础金价,276.0,元/克,涨
2017-08-09,中国黄金,基础金价,274.8,元/克,涨
2017-08-08,中国黄金,基础金价,274.2,元/克,跌
2017-08-07,中国黄金,基础金价,274.5,元/克,跌
2017-08-05,中国黄金,基础金价,275.0,元/克,跌
2017-08-04,中国黄金,基础金价,276.1,元/克,涨
2017-08-03,中国黄金,基础金价,275.5,元/克,跌
2017-08-02,中国黄金,基础金价,276.2,元/克,跌
2016-07-16,中国黄金,基础金价,288.7,元/克,涨
2016-07-15,中国黄金,基础金价,287.4,元/克,跌
2016-07-14,中国黄金,基础金价,290.5,元/克,涨
2016-07-13,中国黄金,基础金价,288.2,元/克,跌
2016-07-12,中国黄金,基础金价,293.5,元/克,跌
2016-07-11,中国黄金,基础金价,295.9,元/克,涨
2016-07-09,中国黄金,基础金价,294.6,元/克,涨
2016-07-08,中国黄金,基础金价,292.2,元/克,跌
2016-07-07,中国黄金,基础金价,295.9,元/克,平
2016-07-06,中国黄金,基础金价,295.9,元/克,涨
2016-07-05,中国黄金,基础金价,289.4,元/克,跌
2015-03-23,中国黄金,基础金价,237.7,元/克,跌
2015-03-21,中国黄金,基础金价,238.4,元/克,涨
2015-03-20,中国黄金,基础金价,235.6,元/克,跌
2015-03-19,中国黄金,基础金价,236.6,元/克,涨
2015-03-18,中国黄金,基础金价,233.0,元/克,跌
2015-03-17,中国黄金,基础金价,234.2,元/克,跌
2015-03-16,中国黄金,基础金价,234.9,元/克,跌
2015-03-14,中国黄金,基础金价,235.1,元/克,跌
2015-03-13,中国黄金,基础金价,235.2,元/克,涨
2015-03-12,中国黄金,基础金价,233.8,元/克,跌
2015-03-11,中国黄金,基础金价,236.4,元/克,平
2018-03-15,中国黄金,基础金价,272.0,元/克,涨
2018-03-12,中国黄金,基础金价,271.7,元/克,跌
2018-03-09,中国黄金,基础金价,271.9,元/克,跌
2018-03-08,中国黄金,基础金价,272.8,元/克,跌
2018-03-07,中国黄金,基础金价,273.6,元/克,涨
2018-03-06,中国黄金,基础金价,272.1,元/克,跌
2018-03-05,中国黄金,基础金价,272.6,元/克,涨
2018-03-02,中国黄金,基础金价,271.6,元/克,涨
2018-03-01,中国黄金,基础金价,271.0,元/克,平
2018-02-28,中国黄金,基础金价,271.0,元/克,跌
2018-02-27,中国黄金,基础金价,273.1,元/克,跌
2012-12-28,中国黄金,基础金价,335.0,元/克,涨
2012-12-27,中国黄金,基础金价,333.9,元/克,涨
2012-12-26,中国黄金,基础金价,333.3,元/克,跌
2012-12-25,中国黄金,基础金价,334.1,元/克,涨
2012-12-24,中国黄金,基础金价,333.1,元/克,涨
2012-12-21,中国黄金,基础金价,329.5,元/克,跌
2012-12-20,中国黄金,基础金价,335.3,元/克,跌
2012-12-19,中国黄金,基础金价,337.0,元/克,跌
2012-12-18,中国黄金,基础金价,341.5,元/克,涨
2012-12-17,中国黄金,基础金价,341.0,元/克,跌
2012-12-14,中国黄金,基础金价,342.0,元/克,跌
2015-11-25,中国黄金,基础金价,223.5,元/克,平
2015-11-24,中国黄金,基础金价,222.1,元/克,跌
2015-11-23,中国黄金,基础金价,222.4,元/克,跌
2015-11-20,中国黄金,基础金价,223.8,元/克,涨
2015-11-19,中国黄金,基础金价,222.6,元/克,平
2015-11-18,中国黄金,基础金价,221.0,元/克,跌
2015-11-17,中国黄金,基础金价,224.5,元/克,跌
2015-11-16,中国黄金,基础金价,226.2,元/克,涨
2015-11-13,中国黄金,基础金价,223.8,元/克,跌
2015-11-12,中国黄金,基础金价,225.0,元/克,跌
2015-11-11,中国黄金,基础金价,225.5,元/克,涨
2018-05-25,中国黄金,基础金价,269.4,元/克,涨
2018-05-24,中国黄金,基础金价,267.9,元/克,涨
