Date,BrandName,ProductName,Price,PriceUnit,RaiseDownType
2013-08-12,中国黄金,零售价,280.5,元/克,涨
2013-08-09,中国黄金,零售价,277.1,元/克,涨
2013-08-08,中国黄金,零售价,273.5,元/克,涨
2013-08-07,中国黄金,零售价,270.7,元/克,跌
2013-08-06,中国黄金,零售价,275.5,元/克,跌
2013-08-05,中国黄金,零售价,278.0,元/克,涨
2013-08-02,中国黄金,零售价,276.3,元/克,跌
2013-08-01,中国黄金,零售价,279.8,元/克,跌
2013-07-31,中国黄金,零售价,280.5,元/克,涨
2013-07-30,中国黄金,零售价,280.2,元/克,涨
2013-07-29,中国黄金,零售价,280.0,元/克,跌
2014-06-20,中国黄金,零售价,277.7,元/克,涨
2014-06-19,中国黄金,零售价,270.5,元/克,涨
2014-06-18,中国黄金,零售价,268.9,元/克,跌
2014-06-17,中国黄金,零售价,269.6,元/克,跌
2014-06-16,中国黄金,零售价,270.3,元/克,涨
2014-06-13,中国黄金,零售价,269.0,元/克,涨
2014-06-12,中国黄金,零售价,267.4,元/克,平
2014-06-11,中国黄金,零售价,267.4,元/克,涨
2014-06-10,中国黄金,零售价,266.2,元/克,跌
2014-06-09,中国黄金,零售价,266.6,元/克,跌
2014-06-06,中国黄金,零售价,267.2,元/克,涨
2017-02-27,中国黄金,零售价,295.3,元/克,涨
2017-02-24,中国黄金,零售价,293.2,元/克,涨
2017-02-23,中国黄金,零售价,290.8,元/克,平
2017-02-22,中国黄金,零售价,290.8,元/克,涨
2017-02-21,中国黄金,零售价,290.1,元/克,跌
2017-02-20,中国黄金,零售价,290.4,元/克,跌
2017-02-17,中国黄金,零售价,290.6,元/克,涨
2017-02-16,中国黄金,零售价,290.2,元/克,涨
2017-02-15,中国黄金,零售价,288.2,元/克,跌
2017-02-14,中国黄金,零售价,288.7,元/克,跌
2017-02-13,中国黄金,零售价,289.7,元/克,跌
2017-05-24,中国黄金,零售价,290.6,元/克,跌
2017-05-23,中国黄金,零售价,292.2,元/克,涨
