公司简称,变动数量(万股),占总股本比例,变动后持股总数(万股),变动后占总股本比例,涨跌幅
*ST万方,309.4,0.9993,2730.73,4.41,-0.42
*ST东洋,16263.2986,9.6724,19667.5568,3.7,2.815454545454546
*ST东海A,9277.463,21.0442,56864.8463,4.221351351351351,-3.7332558139534884
*ST东电,29220.0,33.460300000000004,224950.80800000002,17.173333333333336,0.43333333333333335
*ST东网,16048.7174,54.5237,50557.7338,1.7468539325842696,0.876116504854369
*ST中华A,4740.8254,8.5936,59222.5459,4.2972,3.1068000000000002
*ST中南,9302.2086,5.6859,45799.478200000005,1.9710714285714286,3.4740425531914894
*ST中商,2860.0,4.9815000000000005,44534.8024,25.85666666666667,
*ST中孚,10644.4999,4.7375,3516147.1218,52.88108108108108,-0.1457777777777778
*ST中房,16288.4993,28.1023,460887.0403,5.937388059701493,-0.46113207547169816
*ST中新,552.4791,1.839,92973.7782,30.975,-1.1960000000000002
*ST中昌,5909.4385,13.6312,211434.84,15.946060606060607,1.94
*ST中葡,14223.517,12.661,534031.0266,11.590975609756098,-1.4490243902439024
*ST中迪,5074.9576,17.0208,13479.5715,4.518,-2.9459999999999997
*ST丰华,5386.3256,24.987,122531.3331,24.13592592592593,1.27275
*ST丹邦,22652.2166,48.8618,2963555.5743,19.247816901408452,1.7992957746478875
*ST云城,18067.2013,14.8095,374919.7197,7.479038461538461,-0.10461538461538454
*ST亚星,36766.15,112.2481,206368.6451,4.330860927152318,-0.5586875000000001
*ST众应,29775.1779,79.9207,781089.5724,16.724403669724772,-2.093660714285714
*ST众泰,10677.59,18.3442,1077175.0458,21.124285714285715,-0.3670967741935485
*ST信通,3725.0215,6.5401,28161.786399999997,12.3325,2.03
*ST兆新,39509.5556,16.4945,205856.68360000002,5.27391304347826,1.8237037037037038
*ST全新,47849.3957,157.0502,147215.7091,3.35012987012987,-1.8340217391304348
*ST凯瑞,29998.6754,153.53300000000002,84844.4224,3.192847682119205,-0.9658536585365852
*ST利源,7703.0,10.8358,40520.9,1.9270689655172413,-2.1999999999999997
*ST劝业,9715.611499999999,18.3776,26893.6988,3.589444444444444,
*ST勤上,946.8733,0.2773,10198.6148,27.22,-0.6314285714285715
