,province,nowConfirm,confirm,dead,heal
0,台湾,4079694,4101156,7720,13742
1,香港,267931,342359,9419,65009
2,澳门,499,642,2,141
3,安徽,262,1446,6,1178
4,广东,184,7626,8,7434
5,上海,169,63431,595,62667
6,天津,152,2033,3,1878
7,吉林,121,40293,5,40167
8,福建,104,3535,1,3430
9,江苏,42,2299,0,2257
10,内蒙古,41,2138,1,2096
11,山东,32,2807,7,2768
12,陕西,25,3362,3,3334
13,北京,24,3710,9,3677
14,四川,21,2394,3,2370
15,浙江,19,3172,1,3152
16,重庆,19,753,6,728
17,云南,15,2184,2,2167
18,海南,15,303,6,282
19,甘肃,12,693,2,679
20,江西,12,1402,1,1389
21,河南,10,3194,22,3162
22,辽宁,5,1723,2,1716
23,湖北,2,68403,4512,63889
24,山西,2,427,0,425
25,青海,1,148,0,147
26,黑龙江,1,2989,13,2975
27,湖南,1,1402,4,1397
28,宁夏,0,122,0,122
29,新疆,0,1008,3,1005
30,西藏,0,1,0,1
31,河北,0,2007,7,2000
32,广西,0,1649,2,1647
33,贵州,0,185,2,183
